Title,Price,Location,Offer,Rating,Review,No_of_ratings,Discount,Special,City,From_Date,To_Date,Amount
Radisson Blu Atria Bengaluru,"₹ 3,290",Palace road | 2.2 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 840 Off,4, (Very Good),722,15%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,9/8/2021,11/8/2021,"3,290"
Vinaya Royal Inn,"₹ 1,081",Electronic City,Exclusive Offer - HDFC Credit Card Users. Get INR 837 Off,4, (Very Good),238,40%,"['Free Parking', 'Conference Room', 'Elevator/Lift']",Bangalore,9/8/2021,11/8/2021,"1,081"
Hilton Bangalore Embassy GolfLinks,"₹ 4,725",Domlur Layout,,4.3, (Very Good),548,63%,"['Lounge', 'Indoor Games', 'Kids Play Area']",Bangalore,9/8/2021,11/8/2021,"4,725"
Nandhana Grand,"₹ 1,433",Koramangala,Exclusive Offer - HDFC Credit Card Users. Get INR 891 Off,4.4, (Very Good),964,6%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"1,433"
"Taj Yeshwantpur, Bengaluru","₹ 5,400",Tumkur road,HDFC Credit Card Offer. Get INR 1620 Off & INR 500 TAJ Gift Card,4.5, (Excellent),266,36%,"['Yoga', 'Lounge', 'Butler Services']",Bangalore,9/8/2021,11/8/2021,"5,400"
Hyatt Centric MG Road Bangalore,"₹ 3,295",Ulsoor,Get  INR 593 Cashback to Card,4.4, (Very Good),233,,"['Lounge', 'Indoor Games', 'Free Parking']",Bangalore,9/8/2021,11/8/2021,"3,295"
Iris Hotel & Spa Bangalore,"₹ 2,111",Residency Road | 5.0 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1063 Off,3.7, (Good),591,20%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"2,111"
Breeze Suites,"₹ 1,772",Chikkajala | 24.9 km from city centre,Exclusive Offer - HDFC Credit Card Users. Get INR 860 Off,4.6, (Excellent),1284,,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Bangalore,9/8/2021,11/8/2021,"1,772"
The Porch Inn Hotel/Service Apartments,"₹ 1,070",Hombegowda Nagar | 940 m from Nimhans Hospital,Exclusive Offer - HDFC Credit Card Users. Get INR 634 Off,4.6, (Excellent),514,20%,"['Lounge', 'Butler Services', 'Free Parking']",Bangalore,9/8/2021,11/8/2021,"1,070"
"ITC Gardenia, A Luxury Collection Hotel","₹ 5,460",Ashok Nagar | 3.8 km from Kempegowda Bus Station,Get  INR 546 Cashback to Card,4.1, (Very Good),748,25%,"['Yoga', 'Lounge', 'Butler Services']",Bangalore,9/8/2021,11/8/2021,"5,460"
"The Royale Senate, Hebbal","₹ 2,385",Hebbal | 4.4 km from Manyata Embassy Business Park,Exclusive Offer - HDFC Credit Card Users. Get INR 1482 Off,3.9, (Good),686,18%,"['Lounge', 'Free Parking', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"2,385"
Shoba Enclave,₹ 749,Kalyan Nagar | 4.0 km from Manyata Embassy Business Park,Exclusive Offer - HDFC Credit Card Users. Get INR 754 Off,4.4, (Very Good),128,33%,"['Lounge', 'Free Parking', 'Vehicle Rentals']",Bangalore,9/8/2021,11/8/2021,749
The Citrine Hotel - Seshadripuram,"₹ 2,538",Sheshadripuram | 1.9 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 648 Off,4.5, (Excellent),586,16%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,9/8/2021,11/8/2021,"2,538"
Adarsh Hamilton,"₹ 3,290",Richmond road | 1.7 km from Brigade Road,Exclusive Offer - HDFC Credit Card Users. Get INR 840 Off,4, (Very Good),408,20%,"['Business Centre', 'Conference Room', 'Bar']",Bangalore,9/8/2021,11/8/2021,"3,290"
The Elanza Hotel,"₹ 1,880",Richmond road,Exclusive Offer - HDFC Credit Card Users. Get INR 479 Off,4, (Very Good),207,38%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,9/8/2021,11/8/2021,"1,880"
Gardeenia Comfortes Suites,"₹ 1,397",Bommasandra,Exclusive Offer - HDFC Credit Card Users. Get INR 678 Off,4.3, (Very Good),301,6%,"['Yoga', 'Indoor Games', 'Outdoor Sports']",Bangalore,9/8/2021,11/8/2021,"1,397"
